List Sr. No.,Name,Country,Origin,State Association,DOB,Age,Age Group,Specialism,R/L,Test caps,ODI caps,T20 caps,IPL,C/U/A,Reserve Price Rs Lakh
1,Mayank Agarwal,India,Indian,KSCA,16-02-1991,32,Senior,BATSMAN,RHB,21,5,0,113,Capped,100
2,Harry Brook,England,Foreigner,FOREIGNER,22-02-1999,24,Junior,BATSMAN,RHB,1,0,20,0,Capped,150
3,Ajinkya Rahane,India,Indian,MCA,06-06-1988,34,SuperSenior,BATSMAN,RHB,82,90,20,158,Capped,50
4,Joe Root,England,Foreigner,FOREIGNER,30-12-1990,32,Senior,BATSMAN,RHB,124,158,32,0,Capped,100
5,Rilee Rossouw,South Africa,Foreigner,FOREIGNER,09-10-1989,33,Senior,BATSMAN,LHB,0,36,26,5,Capped,200
6,Kane Williamson,New Zealand,Foreigner,FOREIGNER,08-08-1990,32,Senior,BATSMAN,RHB,88,155,87,76,Capped,200
7,Sam Curran,England,Foreigner,FOREIGNER,03-06-1998,24,Junior,ALL-ROUNDER,LHB,24,18,35,32,Capped,200
8,Cameron Green,Australia,Foreigner,FOREIGNER,03-06-1999,23,Junior,ALL-ROUNDER,RHB,14,13,8,0,Capped,200
9,Shakib Al Hasan,Bangladesh,Foreigner,FOREIGNER,24-03-1987,36,SuperSenior,ALL-ROUNDER,LHB,63,221,109,71,Capped,150
10,Jason Holder,West Indies,Foreigner,FOREIGNER,05-11-1991,31,Senior,ALL-ROUNDER,RHB,56,131,49,38,Capped,200
11,Sikandar Raza,Zimbabwe,Foreigner,FOREIGNER,24-04-1986,36,SuperSenior,ALL-ROUNDER,RHB,17,123,66,0,Capped,50
12,Odean Smith,West Indies,Foreigner,FOREIGNER,01-11-1996,26,Junior,ALL-ROUNDER,RHB,0,5,24,6,Capped,50
13,Ben Stokes,England,Foreigner,FOREIGNER,04-06-1991,31,Senior,ALL-ROUNDER,LHB,86,105,43,43,Capped,200
14,Tom Banton,England,Foreigner,FOREIGNER,11-11-1998,24,Junior,WICKETKEEPER,RHB,0,6,14,2,Capped,200
15,Litton Das,Bangladesh,Foreigner,FOREIGNER,13-10-1994,28,Senior,WICKETKEEPER,RHB,35,57,65,0,Capped,50
16,Heinrich Klaasen,South Africa,Foreigner,FOREIGNER,30-07-1991,31,Senior,WICKETKEEPER,RHB,1,30,38,7,Capped,100
17,Kusal Mendis,Sri Lanka,Foreigner,FOREIGNER,02-02-1995,28,Senior,WICKETKEEPER,RHB,54,87,49,0,Capped,50
18,Nicholas Pooran,West Indies,Foreigner,FOREIGNER,02-10-1995,27,Senior,WICKETKEEPER,LHB,0,52,72,47,Capped,200
19,Phil Salt,England,Foreigner,FOREIGNER,28-08-1996,26,Junior,WICKETKEEPER,RHB,0,11,13,0,Capped,200
20,Chris Jordan,England,Foreigner,FOREIGNER,04-10-1988,34,SuperSenior,BOWLER,RHB,8,35,84,28,Capped,200
21,Adam Milne,New Zealand,Foreigner,FOREIGNER,13-04-1992,30,Senior,BOWLER,RHB,0,41,35,10,Capped,200
22,Jhye Richardson,Australia,Foreigner,FOREIGNER,20-09-1996,26,Junior,BOWLER,RHB,3,15,18,3,Capped,150
23,Ishant Sharma,India,Indian,DDCA,02-09-1988,34,SuperSenior,BOWLER,RHB,105,80,14,93,Capped,50
